Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
411.052;1210247;411.052;4.067707;411.152;657825.1;411.152;3.467206;410.952;377105.2;410.952;4.484017;411.2354;1303879;421.2354;1486.481;410.8687;7.396963E+08;410.8687;37.578;411.3354;4.624095E+08;411.3354;53.33791;410.7687;5.923964E+07;410.7687;69.32328
421.052;1194662;421.052;4.003211;421.152;736767.6;421.152;3.977628;420.952;395679.2;420.952;3.590831;421.2354;1696924;431.2354;2505.151;420.8687;7.413419E+08;420.8687;37.62724;421.3354;4.563445E+08;421.3354;53.39391;420.7853;7.094253E+07;420.7853;78.28101
431.052;1460879;431.052;5.152112;431.152;761461.9;431.152;4.062241;430.9687;342982.2;430.9687;3.195106;431.2354;1866785;441.2354;1978.544;430.8687;7.462125E+08;430.8687;37.36825;431.3354;4.693806E+08;431.3354;53.71296;430.7853;6.591217E+07;430.7853;73.57762
441.052;1143410;441.052;3.844104;441.152;907152.9;441.152;4.822981;440.9687;386257.8;440.9687;4.457102;441.2354;1855474;451.2354;1511.135;440.8687;7.294476E+08;440.8687;37.56475;441.3354;4.642242E+08;441.3354;53.83168;440.7853;6.104115E+07;440.7853;76.08397
451.052;1232034;451.052;4.278703;451.152;743742.6;451.152;4.053049;450.9687;326664.6;450.9687;3.966342;451.2354;1674338;461.252;1657.447;450.8687;7.29143E+08;450.8687;37.72426;451.3354;4.529281E+08;451.3354;54.45764;450.7853;6.325488E+07;450.7853;71.87803
461.052;1159423;461.052;3.884371;461.152;1560969;461.152;114.6894;460.9687;355393.5;460.9687;2.673689;461.252;1507171;471.252;1591.569;460.8687;7.434727E+08;460.8687;37.43151;461.3354;4.769627E+08;461.3354;54.34682;460.7853;7.436283E+07;460.7853;77.54009
471.052;1217274;471.052;4.009057;471.152;716254.3;471.152;3.790727;470.9687;325061.4;470.9687;1.520323;471.252;1925506;481.252;1647.909;470.8687;7.354325E+08;470.8687;38.26772;471.3354;4.576569E+08;471.3354;52.66857;470.7853;6.585284E+07;470.7853;73.38096
481.0687;1266599;481.0687;4.299816;481.152;759618.9;481.152;3.988514;480.9687;375702;480.9687;2.985474;481.252;2714999;491.2354;1870.089;480.8853;7.259713E+08;480.8853;37.55125;481.3354;4.712879E+08;481.3354;53.15229;480.7853;6.069678E+07;480.7853;73.36665
491.052;1505843;491.052;6.362899;491.1353;690977.1;491.1353;3.568739;490.952;349674.3;490.952;3.96934;491.2354;2801923;501.2354;1574.304;490.8687;7.397916E+08;490.8687;37.79219;491.3187;4.629601E+08;491.3187;53.32295;490.7687;6.065549E+07;490.7687;78.31208
501.052;1204793;501.052;4.121796;501.1353;704417.4;501.1353;3.725981;500.952;371492.1;500.952;4.694958;501.2354;2758488;511.2354;1287.851;500.8687;7.342785E+08;500.8687;37.82553;501.3187;4.399038E+08;501.3187;52.63435;500.7687;8.273428E+07;500.7687;85.27461
