tau;amplitude;tau cumulant fit;amplitude cumulant fit;tau size distribution fit;amplitude size distribution fit
0.0135164;1.000839;0.0135164;1.001285;0.0135164;1.001154
0.0143356;1.000856;0.0143356;1.001285;0.0143356;1.001154
0.0151548;1.000946;0.0151548;1.001285;0.0151548;1.001154
0.015974;1.000976;0.015974;1.001285;0.015974;1.001154
0.0167932;1.000972;0.0167932;1.001285;0.0167932;1.001154
0.0176124;1.000999;0.0176124;1.001285;0.0176124;1.001154
0.0184316;1.000899;0.0184316;1.001285;0.0184316;1.001154
0.0192508;1.000856;0.0192508;1.001285;0.0192508;1.001154
0.02007;1.000832;0.02007;1.001285;0.02007;1.001154
0.0208892;1.000868;0.0208892;1.001285;0.0208892;1.001154
0.0217084;1.000898;0.0217084;1.001285;0.0217084;1.001154
0.0225276;1.000891;0.0225276;1.001285;0.0225276;1.001154
0.0233468;1.000964;0.0233468;1.001285;0.0233468;1.001154
0.024166;1.0009;0.024166;1.001285;0.024166;1.001154
0.0249852;1.000773;0.0249852;1.001285;0.0249852;1.001154
0.0253948;1.000951;0.0253948;1.001285;0.0253948;1.001154
0.0270332;1.000931;0.0270332;1.001285;0.0270332;1.001154
0.0286716;1.000918;0.0286716;1.001285;0.0286716;1.001154
0.03031;1.000988;0.03031;1.001285;0.03031;1.001154
0.0319484;1.000959;0.0319484;1.001285;0.0319484;1.001154
0.0335868;1.00095;0.0335868;1.001285;0.0335868;1.001154
0.0352252;1.000963;0.0352252;1.001285;0.0352252;1.001154
0.0368636;1.000953;0.0368636;1.001285;0.0368636;1.001154
0.038502;1.000924;0.038502;1.001285;0.038502;1.001154
0.0401404;1.000907;0.0401404;1.001285;0.0401404;1.001154
0.0417788;1.001004;0.0417788;1.001285;0.0417788;1.001154
0.0434172;1.001014;0.0434172;1.001285;0.0434172;1.001154
0.0450556;1.00094;0.0450556;1.001285;0.0450556;1.001154
0.046694;1.001043;0.046694;1.001285;0.046694;1.001154
0.0483324;1.001112;0.0483324;1.001285;0.0483324;1.001154
0.0499708;1.001057;0.0499708;1.001285;0.0499708;1.001154
0.05079;1.001089;0.05079;1.001285;0.05079;1.001154
0.0540668;1.001095;0.0540668;1.001285;0.0540668;1.001154
0.0573436;1.001171;0.0573436;1.001285;0.0573436;1.001154
0.0606204;1.001196;0.0606204;1.001285;0.0606204;1.001154
0.0638972;1.001174;0.0638972;1.001285;0.0638972;1.001154
0.067174;1.001173;0.067174;1.001285;0.067174;1.001154
0.0704508;1.001138;0.0704508;1.001285;0.0704508;1.001154
0.0737276;1.001176;0.0737276;1.001285;0.0737276;1.001154
0.0770044;1.001201;0.0770044;1.001285;0.0770044;1.001154
0.0802812;1.001183;0.0802812;1.001285;0.0802812;1.001154
0.083558;1.00124;0.083558;1.001285;0.083558;1.001154
0.0868348;1.001305;0.0868348;1.001285;0.0868348;1.001154
0.0901116;1.001361;0.0901116;1.001285;0.0901116;1.001154
0.0933884;1.001377;0.0933884;1.001285;0.0933884;1.001154
0.0966652;1.001366;0.0966652;1.001285;0.0966652;1.001154
0.099942;1.001369;0.099942;1.001285;0.099942;1.001154
0.1015804;1.001383;0.1015804;1.001285;0.1015804;1.001154
0.108134;1.001505;0.108134;1.001285;0.108134;1.001154
0.1146876;1.001508;0.1146876;1.001285;0.1146876;1.001154
0.1212412;1.001521;0.1212412;1.001285;0.1212412;1.001154
0.1277948;1.001556;0.1277948;1.001285;0.1277948;1.001154
0.1343484;1.001534;0.1343484;1.001285;0.1343484;1.001154
0.140902;1.001626;0.140902;1.001285;0.140902;1.001154
0.1474556;1.001653;0.1474556;1.001285;0.1474556;1.001154
0.1540092;1.001742;0.1540092;1.001285;0.1540092;1.001154
0.1605628;1.001792;0.1605628;1.001285;0.1605628;1.001154
0.1671164;1.001752;0.1671164;1.001285;0.1671164;1.001154
